Family_AC,Family_ID,Description
RF00181,SNORD113,Small nucleolar RNA SNORD113/SNORD114 family
RF00182,Corona_package,Coronavirus packaging signal
RF00183,G-CSF_SLDE,G-CSF factor stem-loop destabilising element (SLDE)
RF00184,PVX_3,Potato virus X cis-acting regulatory element
RF00186,SNORD101,Small nucleolar RNA SNORD101
RF00187,SNORD102,Small nucleolar RNA SNORD102
RF00188,SNORD103,Small nucleolar RNA SNORD103/SNORD85
RF00189,SNORD95,Small nucleolar RNA SNORD95
RF00190,SNORA16,Small nucleolar RNA SNORA16B/SNORA16A family
RF00191,SNORA57,Small nucleolar RNA SNORA57
RF00192,BLV_package,Bovine leukaemia virus RNA packaging signal
RF00193,CTV_rep_sig,Citrus tristeza virus replication signal
RF00194,Rubella_3,Rubella virus 3' cis-acting element
RF00195,RsmY,RsmY RNA family
RF00196,AMV_RNA1_SL,Alfalfa mosaic virus RNA 1 5' UTR stem-loop
RF00198,SL1,SL1 RNA
RF00199,SL2,SL2 RNA
RF00200,snoZ199,Small nucleolar RNA Z199
RF00201,snoZ278,Small nucleolar RNA Z278
RF00202,snoR66,Small nucleolar RNA R66
RF00203,snoR160,Small nucleolar RNA R160
RF00204,snoR12,Small nucleolar RNA R12
RF00205,snoR41,Small nucleolar RNA R41
RF00206,U54,Small nucleolar RNA U54
RF00208,snoR72,Small nucleolar RNA R72
RF00211,SNORD35,Small nucleolar RNA SNORD35
RF00212,SNORD38,Small nucleolar RNA SNORD38
RF00213,snoR38,Small nucleolar RNA R38
RF00214,Retro_dr1,Retrovirus direct repeat 1 (dr1)
RF00215,Tombus_3_III,Tombus virus defective interfering (DI) RNA region 3
RF00216,IRES_c-myc,c-myc internal ribosome entry site (IRES)
RF00217,SNORD20,Small nucleolar RNA SNORD20
RF00218,SNORD46,Small nucleolar RNA SNORD46
RF00220,Rhino_CRE,Human rhinovirus internal cis-acting regulatory element (CRE)
RF00221,SNORD43,Small nucleolar RNA SNORD43
RF00222,IRES_Bag1,Bag-1 internal ribosome entry site (IRES)
RF00223,IRES_Bip,bip internal ribosome entry site (IRES)
RF00224,IRES_FGF2,FGF-2 internal ribosome entry site (IRES)
RF00225,IRES_Tobamo,Tobamovirus internal ribosome entry site (IRES)
RF00226,IRES_n-myc,n-myc internal ribosome entry site (IRES)
RF00227,FIE3,FIE3 (ftz instability element 3') element
RF00229,IRES_Picorna,Picornavirus internal ribosome entry site (IRES)
RF00230,T-box,T-box leader
RF00231,SCARNA13,Small Cajal body specific RNA 13
RF00232,Spi-1,Spi-1 (PU.1) 5' UTR regulatory element
RF00235,Plasmid_RNAIII,Plasmid RNAIII
RF00236,ctRNA_pGA1,ctRNA
RF00237,mir-9,mir-9/mir-79 microRNA precursor family
RF00238,ctRNA_pND324,ctRNA
RF00239,mir-124,mir-124 microRNA precursor family
RF00241,mir-8,mir-8/mir-141/mir-200 microRNA precursor family
RF00242,ctRNA_pT181,ctRNA
RF00243,traJ_5,traJ 5' UTR
RF00244,mir-26,mir-26 microRNA precursor family
RF00245,mir-19,mir-19 microRNA precursor family
RF00246,mir-135,mir-135 microRNA precursor family
RF00247,mir-160,mir-160 microRNA precursor family
RF00248,mir-148,mir-148/mir-152 microRNA precursor family
RF00249,mir-46,mir-46/mir-47/mir-281 microRNA precursor family
RF00251,mir-219,mir-219 microRNA precursor family
RF00252,Alfamo_CPB,Alfalfa mosaic virus coat protein binding (CPB) RNA
RF00253,mir-101,mir-101 microRNA precursor family
RF00255,mir-218,mir-218 microRNA precursor family
RF00256,mir-196,mir-196 microRNA precursor family
RF00257,mir-194,mir-194 microRNA precursor family
RF00258,mir-130,mir-130 microRNA precursor family
RF00259,IFN_gamma,Interferon gamma 5' UTR regulatory element
RF00260,HepC_CRE,Hepatitis C virus (HCV) cis-acting replication element (CRE)
RF00261,IRES_L-myc,L-myc internal ribosome entry site (IRES)
RF00262,sar,sar RNA
RF00263,SNORA68,Small nucleolar RNA SNORA68
RF00264,SNORA64,Small nucleolar RNA SNORA64/SNORA10 family
RF00265,SNORA69,Small nucleolar RNA SNORA69
RF00266,snoZ17,Small nucleolar RNA Z17
RF00267,snoR64,Small nucleolar RNA R64/Z200 family
RF00268,snoZ7,Small nucleolar RNA snoZ7/snoR77
RF00270,SNORD61,Small nucleolar RNA SNORD61
RF00271,SNORD60,Small nucleolar RNA SNORD60
RF00272,SNORA67,Small nucleolar RNA SNORA67
RF00273,SNORD59,Small nucleolar RNA SNORD59
RF00274,SNORD57,Small nucleolar RNA SNORD57
RF00275,SNORD56,Small nucleolar RNA SNORD56
RF00276,SNORD52,Small nucleolar RNA SNORD52
RF00277,SNORD49,Small nucleolar RNA SNORD49
RF00278,SNORD50,Small nucleolar RNA SNORD50
RF00279,SNORD45,Small nucleolar RNA SNORD45
RF00280,SNORD51,Small nucleolar RNA SNORD51
RF00281,SNORD47,Small nucleolar RNA SNORD47
RF00282,SNORD48,Small nucleolar RNA SNORD48
RF00283,SCARNA18,small Cajal body-specific RNA 18
RF00284,SNORD74,Small nucleolar RNA SNORD74
RF00285,snoZ6,Z6 small nucleolar RNA
RF00286,SCARNA8,Small Cajal body specific RNA 8
RF00287,SNORD44,Small nucleolar RNA SNORD44
RF00288,snoZ30,Z30 small nucleolar RNA
RF00289,SNORND104,Small nucleolar RNA SNORD104
RF00290,BaMV_CRE,Bamboo mosaic potexvirus (BaMV) cis-regulatory element
RF00291,snoR639,Small nucleolar RNA snoR639/H1
RF00292,snoTBR5,Small nucleolar RNA TBR5
RF00293,snoM1,Small nucleolar RNA snoM1
RF00294,snoTBR17,Small nucleolar RNA TBR17
RF00295,snoTBR7,Small nucleolar RNA TBR7
RF00296,snoR16,Small nucleolar RNA R16
RF00300,snoZ221_snoR21b,Small nucleolar RNA Z221/R21b
RF00301,snoZ256,Small nucleolar RNA Z256
RF00302,SNORA65,Small nucleolar RNA SNORA65
RF00303,snoR86,Small nucleolar RNA snoR86
RF00304,snoZ279_R105_R108,Small nucleolar RNA Z279/snoR105/snoR108
RF00305,snoZ248,Small nucleolar RNA Z248
RF00306,snoZ178,Small nucleolar RNA Z178
RF00307,snoR98,Small nucleolar RNA snoR98
RF00309,snosnR60_Z15,Small nucleolar RNA snR60/Z15/Z230/Z193/J17
RF00310,snoZ165,Small nucleolar RNA Z165
RF00311,snoZ188,Small nucleolar RNA Z188
RF00312,snoZ206,Small nucleolar RNA Z206
RF00313,snoZ173,Small nucleolar RNA Z173
RF00314,snoZ182,Small nucleolar RNA Z182
RF00315,snoJ33,Small nucleolar RNA J33
RF00316,snoR43,Small nucleolar RNA R43
RF00317,snoZ163,Small nucleolar RNA Z163/Z177 family
RF00318,snoZ175,Small nucleolar RNA Z175
RF00319,SNORA23,Small nucleolar RNA SNORA23
RF00320,snoZ185,Small nucleolar RNA Z185
RF00321,snoZ247,Small nucleolar RNA Z247
RF00322,SNORA31,Small nucleolar RNA SNORA31
RF00323,snoR79,Small nucleolar RNA R79
RF00324,snoMBII-202,Small nucleolar RNA MBII-202
RF00325,SNORD53_SNORD92,Small nucleolar RNA SNORD53/SNORD92
RF00326,snoZ155,Small nucleolar RNA Z155
RF00327,snoZ194,Small nucleolar RNA Z194
RF00328,snoZ161_228,Small nucleolar RNA Z161/Z228
RF00329,snoZ162,Small nucleolar RNA Z162
RF00330,snoZ43,Small nucleolar RNA Z43
RF00331,snoZ169,Small nucleolar RNA Z169
RF00332,snoZ266,Small nucleolar RNA Z266
RF00333,snoZ157,Small nucleolar RNA Z157/R69/R10
RF00334,SNORA3,Small nucleolar RNA SNORA3/SNORA45 family
RF00335,snoZ13_snr52,Small nucleolar RNA Z13/snr52
RF00336,snoJ26,Small nucleolar RNA J26
RF00337,snoZ112,Small nucleolar RNA Z112
RF00338,snoR53,Small nucleolar RNA snR53
RF00339,snoR60,Small nucleolar RNA snoR60
RF00340,SNORA36,Small nucleolar RNA SNORA36 family
RF00341,snoZ39,Small nucleolar RNA Z39
RF00342,snoZ40,Small nucleolar RNA Z40
RF00343,snoZ122,Small nucleolar RNA Z122
RF00344,snoZ267,Small nucleolar RNA Z267
RF00345,snoR1,Small nucleolar RNA snoR1
RF00348,snoR9_plant,Small nucleolar RNA snoR9
RF00349,snoR11,Small nucleolar RNA R11/Z151
RF00350,snoZ152,Small nucleolar RNA Z152/R70/R12/
RF00351,snoR20,Small nucleolar RNA R20
RF00352,snoR21,Small nucleolar RNA R21
RF00353,snoR31_Z110_Z27,Small nucleolar RNA snoR31/Z110/Z27
RF00355,snoR28,Small nucleolar RNA snoR28
RF00356,snoR32_R81,Small nucleolar RNA R32/R81/Z41
RF00357,snoR44_J54,Small nucleolar RNA R44/J54/Z268 family
RF00358,snoZ101,Small nucleolar RNA Z101
RF00359,snoZ102_R77,Small nucleolar RNA Z102/R77
RF00360,snoZ107_R87,Small nucleolar RNA Z107/R87
RF00361,snoZ119,Small nucleolar RNA Z119
RF00362,Pospi_RY,Pospiviroid RY motif stem loop
RF00363,mir-BART1,mir-BART1 microRNA precursor family
RF00364,mir-BART2,mir-BART2 microRNA precursor family
RF00365,mir-BHRF1-1,mir-BHRF1-1 microRNA precursor family
RF00366,mir-BHRF1-2,mir-BHRF1-2 microRNA precursor family
RF00367,mir-BHRF1-3,mir-BHRF1-3 microRNA precursor family
RF00368,sroB,sroB RNA
RF00369,sroC,sroC RNA
RF00370,sroD,sroD RNA
RF00371,sroE,sroE RNA
RF00372,sroH,sroH RNA
RF00376,HIV_GSL3,HIV gag stem loop 3 (GSL3)
RF00377,snoU6-53,Small nucleolar RNA U6-53/MBII-28
RF00378,Qrr,Qrr RNA
RF00381,Antizyme_FSE,Antizyme RNA frameshifting stimulation element
RF00383,IS1222_FSE,Insertion sequence IS1222 ribosomal frameshifting element
RF00384,Pox_AX_element,Poxvirus AX element late mRNA cis-regulatory element
RF00385,IBV_D-RNA,Infectious bronchitis virus D-RNA
RF00387,IRES_FGF1,FGF-1 internal ribosome entry site (IRES)
RF00388,Anti-Q_RNA,Anti-Q RNA
RF00389,satBaMV_CRE,Bamboo mosaic virus satellite RNA cis-regulatory element
RF00391,RtT,RtT RNA
RF00392,SNORA5,Small nucleolar RNA SNORA5
RF00393,SNORA8,Small nucleolar RNA SNORA8
RF00394,SNORA4,Small nucleolar RNA SNORA4
RF00396,SNORA13,Small nucleolar RNA SNORA13
RF00397,SNORA14,Small nucleolar RNA SNORA14
RF00398,SNORA15,Small nucleolar RNA SNORA15
RF00399,SNORA24,Small nucleolar RNA SNORA24
RF00400,SNORA28,Small nucleolar RNA SNORA28
RF00401,SNORA20,Small nucleolar RNA SNORA20
RF00402,SNORA25,Small nucleolar RNA SNORA25
RF00403,SNORA41,Small nucleolar RNA SNORA41
RF00404,SNORA46,Small nucleolar RNA SNORA46
RF00405,SNORA44,Small nucleolar RNA SNORA44
RF00406,SNORA42,Small nucleolar RNA SNORA42/SNORA80 family
RF00407,SNORA50,Small nucleolar RNA SNORA50
RF00408,SNORA1,Small nucleolar RNA SNORA1
RF00409,SNORA7,Small nucleolar RNA SNORA7
RF00410,SNORA2,Small nucleolar RNA SNORA2/SNORA34 family
RF00411,SNORA9,Small nucleolar RNA SNORA9
RF00412,SNORA21,Small nucleolar RNA SNORA21
RF00413,SNORA19,Small nucleolar RNA SNORA19
RF00414,SNORA22,Small nucleolar RNA SNORA22
RF00415,SNORA30,Small nucleolar RNA SNORA30/SNORA37 family
RF00416,SNORA43,Small nucleolar RNA SNORA43
RF00417,SNORA56,Small nucleolar RNA SNORA56
RF00418,SNORA58,Small nucleolar RNA SNORA58
RF00419,SNORA52,Small nucleolar RNA SNORA52
RF00420,SNORA61,Small nucleolar RNA SNORA61
RF00421,SNORA32,Small nucleolar RNA SNORA32
RF00422,SCARNA24,Small Cajal body specific RNA 24
RF00423,SCARNA4,Small Cajal body specific RNA 4
RF00424,SCARNA16,Small Cajal body specific RNA 16
RF00425,SNORA18,Small nucleolar RNA SNORA18
RF00426,SCARNA15,Small Cajal body specific RNA 15
RF00427,SCARNA23,Small Cajal body specific RNA 23
RF00428,SNORA38,Small nucleolar RNA SNORA38
RF00429,SNORA29,Small nucleolar RNA SNORA29
RF00430,SNORA54,Small nucleolar RNA SNORA54
RF00431,SNORA55,Small nucleolar RNA SNORA55
RF00432,SNORA51,Small nucleolar RNA SNORA51
RF00433,Hsp90_CRE,Hsp90 cis-regulatory element
RF00434,BTE,Luteovirus cap-independent translation element (BTE)
RF00435,ROSE,Repression of heat shock gene expression (ROSE) element
RF00436,UnaL2,UnaL2 LINE 3' element
RF00437,HLE,Hairy RNA localisation element (HLE)
RF00438,SNORA33,Small nucleolar RNA SNORA33
RF00439,SNORD87,Small nucleolar RNA SNORD87
RF00440,SNORD37,Small nucleolar RNA SNORD37
RF00441,snoZ242,Small nucleolar RNA Z242
RF00443,SNORA27,Small nucleolar RNA SNORA27
RF00444,PrrF,PrrF RNA
RF00445,mir-399,mir-399 microRNA precursor family
RF00446,mir-133,mir-133 microRNA precursor family
RF00447,IRES_Kv1_4,Voltage-gated potassium-channel Kv1.4 IRES
RF00448,IRES_EBNA,Epstein-Barr virus nuclear antigen (EBNA) IRES
RF00449,IRES_HIF1,HIF-1 alpha IRES
RF00451,mir-395,mir-395 microRNA precursor family
RF00452,mir-172,mir-172 microRNA precursor family
RF00453,Cardiovirus_CRE,Cardiovirus cis-acting replication element (CRE)
RF00454,p27_CRE,p27 cis-regulatory element
RF00456,mir-34,mir-34 microRNA precursor family
RF00457,IRES_mnt,Mnt IRES
RF00459,MPMV_package,Mason-Pfizer monkey virus packaging signal
RF00460,U1A_PIE,U1A polyadenylation inhibition element (PIE)
RF00461,IRES_VEGF_A,Vascular endothelial growth factor (VEGF) IRES A
RF00462,IRES_APC,APC internal ribosome entry site (IRES)
RF00463,ApoB_5_CRE,Apolipoprotein B (apoB) 5' UTR cis-regulatory element
RF00464,mir-92,mir-92 microRNA precursor family
RF00467,RSV_PBS,Rous sarcoma virus (RSV) primer binding site (PBS)
RF00468,HCV_SLVII,Hepatitis C virus stem-loop VII
RF00470,Toga_5_CRE,Togavirus 5' plus strand cis-regulatory element
RF00471,snosnR48,Small nucleolar RNA snR48
RF00472,snosnR55,Small nucleolar RNA snR55/Z10
RF00473,snosnR54,Small nucleolar RNA snR54
RF00474,snosnR57,Small nucleolar RNA snR57
RF00475,snosnR69,Small nucleolar RNA snR69
RF00476,snosnR61,Small nucleolar RNA snR61/Z1/Z11
RF00477,snosnR66,Small nucleolar RNA snR66
RF00478,SCARNA6,Small Cajal body specific RNA 6
RF00479,snosnR71,Small nucleolar RNA snR71
RF00481,HCV_X3,Hepatitis C virus 3' X element
RF00482,snoF1_F2,Small nucleolar RNA F1/F2/snoR5a
RF00483,IRES_IGF2,Insulin-like growth factor II IRES
RF00484,IRES_Cx32,Connexin-32 internal ribosome entry site (IRES)
RF00485,K_chan_RES,Potassium channel RNA editing signal
RF00486,mir-129,mir-129 microRNA precursor family
RF00487,IRES_Cx43,Connexin-43 internal ribosome entry site (IRES)
RF00489,ctRNA_p42d,ctRNA
RF00490,S-element,S-element
RF00492,SCARNA17,small Cajal body-specific RNA 17
RF00493,snoU2-30,Small nucleolar RNA U2-30
RF00494,snoU2_19,Small nucleolar RNA U2-19
RF00495,IRES_Hsp70,Heat shock protein 70 (Hsp70) internal ribosome entry site (IRES)
RF00498,EAV_LTH,Equine arteritis virus leader TRS hairpin (LTH)
RF00499,Parecho_CRE,Human parechovirus 1 (HPeV1) cis regulatory element (CRE)
RF00501,Rota_CRE,Rotavirus cis-acting replication element (CRE)
RF00502,TCV_Pr,Turnip crinkle virus (TCV) core promoter hairpin (Pr)
RF00503,RNAIII,RNAIII
RF00506,Thr_leader,Threonine operon leader
RF00509,snosnR64,Small nucleolar RNA snR64
RF00510,Tombus_IRE,Tombusvirus internal replication element (IRE)
RF00511,IRES_KSHV,Kaposi's sarcoma-associated herpesvirus internal ribosome entry site
RF00512,Leu_leader,Leucine operon leader
RF00513,Trp_leader,Tryptophan operon leader
RF00514,His_leader,Histidine operon leader
RF00515,PyrR,PyrR binding site
RF00516,ylbH,ylbH leader
RF00517,serC,serC leader
RF00518,speF,speF leader
RF00519,suhB,Makes More Granules Regulator RNA (mmgR)
RF00520,ybhL,ybhL leader
RF00521,SAM_alpha,Alpha-proteobacteria SAM riboswitch aptamer
RF00523,Prion_pknot,Prion pseudoknot
RF00524,R2_retro_el,R2 RNA element
RF00526,snoMe28S-U3344,Small nucleolar RNA Me28S-U3344
RF00527,snoMe28S-G3255,Small nucleolar RNA Me28S-Gm3255
RF00528,snoMe28S-Gm1083,Small nucleolar RNA Me28S-Gm1083
RF00529,snoMe28S-Am2589,Small nucleolar RNA Me28S-Am2589
RF00530,snoMe28S-Cm2645,Small nucleolar RNA Me28S-Cm2645
RF00531,snoMe28S-Gm3113,Small nucleolar RNA Me28S-Gm3113
RF00532,snoMe18S-Um1356,Small nucleolar RNA Me18S-Um1356
RF00533,snoMe18S-Gm1358,Small nucleolar RNA Me18S-Gm1358
RF00534,SgrS,SgrS RNA
RF00535,snoMe28S-Am982,Small nucleolar RNA Me28S-Am982
RF00536,snoMe28S-Cm3227,Small nucleolar RNA Me28S-Cm3227
RF00537,snoMe28S-Am2634,Small nucleolar RNA Me28S-Am2634
RF00538,snoCD11,Small nucleolar RNA CD11
RF00539,snoMe28S-Cm788,Small nucleolar RNA Me28S-Cm788
RF00540,snopsi18S-1854,Small nucleolar RNA psi18S-1854
RF00541,snopsi28S-2876,Small nucleolar RNA psi28S-2876
RF00542,snopsi28S-1192,Small nucleolar RNA psi28S-1192
RF00543,snopsi18S-1377,Small nucleolar RNA psi18S-1377
RF00544,snopsi28S-3327,Small nucleolar RNA psi28S-3327
RF00545,snopsi18S-841,Small nucleolar RNA psi18S-841/snoR66
RF00546,snopsi28S-3316,Small nucleolar RNA psi28S-3316
RF00547,IRES_TrkB,TrkB IRES
RF00549,IRES_c-sis,c-sis internal ribosome entry site (IRES)
RF00550,HepE_CRE,Hepatitis E virus cis-reactive element
RF00551,bicoid_3,Bicoid 3'-UTR regulatory element
RF00552,rncO,rncO
RF00553,SCARNA1,Small Cajal body specific RNA 1
RF00554,SNORA48,Small nucleolar RNA SNORA48
RF00555,L13_leader,Ribosomal protein L13 leader
RF00556,L19_leader,Ribosomal protein L19 leader
RF00557,L10_leader,Ribosomal protein L10 leader
RF00558,L20_leader,Ribosomal protein L20 leader
RF00559,L21_leader,Ribosomal protein L21 leader
RF00560,SNORA17,Small nucleolar RNA SNORA17
RF00561,SNORA40,Small nucleolar RNA SNORA40
RF00562,SNORA49,Small nucleolar RNA SNORA49
RF00563,SNORA53,Small nucleolar RNA SNORA53
RF00564,SCARNA11,Small Cajal body specific RNA 11
RF00565,SCARNA3,Small Cajal body specific RNA 3
RF00566,SNORA35,Small nucleolar RNA SNORA35
RF00567,SNORD17,Small nucleolar RNA SNORD17
RF00568,SNORA26,Small nucleolar RNA SNORA26
RF00569,SNORD19,Small nucleolar RNA SNORD19
RF00570,SNORD64,Small Nucleolar RNA SNORD64
RF00571,SNORD65,Small nucleolar RNA SNORD65
RF00572,SNORD66,Small nucleolar RNA SNORD66
RF00573,SNORD67,Small nucleolar RNA SNORD67
RF00574,SNORD69,Small nucleolar RNA SNORD69
RF00575,SNORD70,Small nucleolar RNA SNORD70
RF00576,SNORD71,Small nucleolar RNA SNORD71
RF00577,SNORD72,Small nucleolar RNA SNORD72
RF00578,SNORD89,Small nucleolar RNA SNORD89
RF00579,SNORD90,Small nucleolar RNA SNORD90
RF00580,SNORD91,Small nucleolar RNA SNORD91 family
RF00581,SNORD12,Small nucleolar SNORD12/SNORD106
RF00582,SCARNA14,Small Cajal body specific RNA 14
RF00584,SNORD105,Small nucleolar RNA SNORD105
RF00586,SNORA12,Small nucleolar RNA SNORA12
RF00588,SNORD41,Small nucleolar RNA SNORD41
RF00591,SNORD77,Small nucleolar RNA SNORD77
RF00592,SNORD78,Small nucleolar RNA SNORD78
RF00593,snoU83B,Small nucleolar RNA U83B
RF00594,SNORD86,Small nucleolar RNA SNORD86
RF00598,SNORA76,Small nucleolar RNA SNORA76
RF00599,SNORA77,Small nucleolar RNA SNORA77
RF00600,SNORA79,Small nucleolar RNA SNORA79
RF00601,SCARNA20,Small Cajal body specific RNA 20
RF00602,SCARNA21,Small Cajal body specific RNA 21
RF00603,SNORD23,Small nucleolar RNA SNORD23
RF00604,SNORD88,Small nucleolar RNA SNORD88
RF00606,SNORD93,Small nucleolar RNA SNORD93
RF00607,SNORD98,Small nucleolar RNA SNORD98
RF00608,SNORD99,Small nucleolar RNA SNORD99
RF00609,SNORD100,Small nucleolar RNA SNORD100
RF00610,SNORD110,Small nucleolar RNA SNORD110
RF00611,SNORD111,Small nucleolar RNA SNORD111
RF00612,SNORD75,Small nucleolar RNA SNORD75
RF00613,SNORD94,Small nucleolar RNA SNORD94
RF00614,SNORA11,Small nucleolar RNA SNORA11
RF00615,LhrA,Listeria Hfq binding LhrA
RF00616,LhrC,Listeria LhrC
RF00617,cHP,Flavivirus capsid hairpin cHP
RF00621,CoTC_ribozyme,Beta-globin co-transcriptional cleavage ribozyme
RF00623,P1,Pseudomonas sRNA P1
RF00624,P9,Pseudomonas sRNA P9
RF00625,P11,Pseudomonas sRNA P11
RF00626,Gurken,Gurken localisation signal
RF00627,P15,Pseudomonas sRNA P15
RF00628,RgsA,RgsA sRNA
RF00629,P24,Pseudomonas sRNA P24
RF00630,P26,Pseudomonas sRNA P26
RF00632,sxy,sxy 5' UTR element
RF00635,HAR1A,Highly accelerated region 1A/1B
RF00636,NRON,ncRNA Repressor of NFAT (nuclear factor of activated T cells)
RF00637,mir-276,microRNA mir-276
RF00638,MIR159,microRNA MIR159
RF00639,mir-515,mir-515 microRNA precursor family
RF00640,MIR167,MIR167 microRNA precursor
